Channel 1,Name of channel,Country,Category,Language,Channel ID,full url 1 with Video ID,full url 2 with Video ID
1,WION,India,National News,English,UC_gUM8rL-Lrg6O3adPW9K1g,https://www.youtube.com/watch?v=93uX8NdW4v4,https://www.youtube.com/watch?v=lHFPPmi-TrY
2,NDTV 24x7,India,National News,English,UCZFMm1mMw0F81Z37aaEzTUA,https://www.youtube.com/watch?v=y4vvJJNF1ro,https://www.youtube.com/watch?v=N-ZthvsWswU
3,India Today,India,National News,English,UCYPvAwZP8pZhSMW8qs7cVCw,https://www.youtube.com/watch?v=eJDNOOA2U9s,https://www.youtube.com/watch?v=NbK5e5luLhs
4,Republic World,India,National News,English,UCwqusr8YDwM-3mEYTDeJHzw,https://www.youtube.com/watch?v=Xi3heFyY2-4,https://www.youtube.com/watch?v=fzlIR8I657g
5,CNN-News18,India,National News,English,UCef1-8eOpJgud7szVPlZQAQ,https://www.youtube.com/watch?v=4yivvIX7Umo,https://www.youtube.com/watch?v=EU8EF3doHuI
6,Times Now,India,National News,English,UC6RJ7-PaXg6TIH2BzZfTV7w,https://www.youtube.com/watch?v=YGYsW7BjIHQ,https://www.youtube.com/watch?v=hvblBGBVLfk
7,NDTV Profit,India,Business News,English,UC3uJIdRFTGgLWrUziaHbzrg,https://www.youtube.com/watch?v=lcXFuMLO4EE,https://www.youtube.com/watch?v=-aEMD8Uxbzw
8,CNBC-TV18,India,Business News,English,UCmRbHAgG2k2vDUvb3xsEunQ,https://www.youtube.com/watch?v=zJgSPs2SodE,https://www.youtube.com/watch?v=l7hhOVZwmG4
9,Aaj Tak,India,National News,Hindi,UCt4t-jeY85JegMlZ-E5UWtA,https://www.youtube.com/watch?v=PNxDir65frc,https://www.youtube.com/watch?v=2D90PCpYI5o
10,India TV,India,National News,Hindi,UCttspZesZIDEwwpVIgoZtWQ,https://www.youtube.com/watch?v=e1FIApIafWE,https://www.youtube.com/watch?v=KrC2OnD5qwA
